通用规范字ID,字头,结构,部件,偏旁变体,部首,拼音与部件名称,笔画数,笔顺,笔顺提示
213,丙,独体,"一,内",,一,bǐng,5,0000000000000000000012534,
214,左,半包围,"𠂇,工",,工,zuǒ,5,0000000000000000000013121,
215,厉,半包围,"厂,万",,厂,lì,5,0000000000000000000013153,里面的“万”第二笔是横折钩，不是撇。
216,石,独体,"丆,口",,石,shí/dàn,5,0000000000000000000013251,
217,右,半包围,"𠂇,口",,口,yòu,5,0000000000000000000013251,
218,布,半包围,"𠂇,巾",,巾,bù,5,0000000000000000000013252,
219,夯,上下,"大,力",,大,hāng,5,0000000000000000000013453,
220,戊,独体,"",,戈,wù,5,0000000000000000000013534,
221,龙,独体,"尤,丿",,龙,lóng,5,0000000000000000000013534,
222,平,独体,"干,丷",,一,píng,5,0000000000000000000014312,
223,灭,上下,"一,火",,一,miè,5,0000000000000000000014334,下面的“火”第一笔是点，不是撇。
224,轧,左右,"车,乚",,车,yà/zhá,5,0000000000000000000015215,“车”用作左偏旁时最后一笔是提，不是竖。
225,东,独体,"",,一,dōng,5,0000000000000000000015234,
226,卡,独体,"上,下",,⺊,kǎ/qiǎ,5,0000000000000000000021124,
227,北,左右,"北_1_3,匕",,匕,běi,5,0000000000000000000021135,第一笔是竖，不是横，第四笔是撇，不是竖弯钩。
228,占,上下,"⺊,口",,⺊,zhàn/zhān,5,0000000000000000000021251,
229,凸,独体,"",,丨,tū,5,0000000000000000000021251,第四笔是横折折折，要一笔连写，不要分成两笔。
230,卢,上下,"⺊,尸",,⺊,lú,5,0000000000000000000021513,
231,业,独体,"",,业,yè,5,0000000000000000000022431,
232,旧,左右,"丨,日",,丨,jiù,5,0000000000000000000022511,
233,帅,左右,"师_1_2,巾",,巾,shuài,5,0000000000000000000023252,
234,归,左右,"师_1_2,彐",,彐,guī,5,0000000000000000000023511,
235,旦,上下,"日,一",,日,dàn,5,0000000000000000000025111,
236,目,独体,"",,目,mù,5,0000000000000000000025111,
237,且,独体,"",,丨,qiě,5,0000000000000000000025111,
238,叶,左右,"口,十",,口,yè,5,0000000000000000000025112,
239,甲,独体,"",,丨,jiǎ,5,0000000000000000000025112,
240,申,独体,"",,丨,shēn,5,0000000000000000000025112,
241,叮,左右,"口,丁",,口,dīng,5,0000000000000000000025112,
242,电,独体,"日,乚",,丨,diàn,5,0000000000000000000025115,
243,号,上下,"口,丂",,口,hào/háo,5,0000000000000000000025115,
244,田,独体,"",,田,tián,5,0000000000000000000025121,
245,由,独体,"",,丨,yóu,5,0000000000000000000025121,
246,只,上下,"口,八",,口,zhǐ,5,0000000000000000000025134,
247,叭,左右,"口,八",,口,bā,5,0000000000000000000025134,
248,史,独体,"",,丨,shǐ,5,0000000000000000000025134,
